DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10249,9995,10039,10246,10181,10168,10248,10190,10175,10255,10167,10168,10253,10151,10113,,,10117,,,10129,,,10139
10251,9997,10033,10250,10182,10168,10248,10191,10178,10262,10168,10171,10251,10149,10112,,,10121,,,10131,,,10136
10252,9996,10030,10246,10185,10168,10250,10193,10181,10257,10168,10170,10249,10150,10109,,,10116,,,10132,,,10139
10247,9994,10030,10246,10183,10170,10249,10191,10176,10252,10169,10174,10253,10152,10109,,,10111,,,10135,,,10138
10244,9992,10032,10246,10183,10167,10247,10191,10177,10253,10169,10173,10252,10150,10112,,,10121,,,10127,,,10141
10246,9995,10034,10248,10184,10167,10246,10193,10179,10258,10169,10168,10252,10150,10114,,,10117,,,10130,,,10137
10244,9994,10031,10246,10184,10169,10244,10191,10178,10257,10167,10173,10254,10147,10114,,,10118,,,10133,,,10133
10248,9994,10035,10250,10180,10171,10247,10197,10181,10260,10172,10173,10253,10149,10111,,,10120,,,10133,,,10142
10248,9996,10037,10244,10186,10171,10255,10192,10177,10255,10171,10173,10252,10152,10113,,,10118,,,10135,,,10144
10249,9997,10032,10242,10184,10172,10249,10191,10175,10257,10172,10169,10249,10147,10108,,,10112,,,10124,,,10141
10251,9999,10036,10245,10184,10169,10250,10195,10180,10253,10170,10173,10254,10151,10108,,,10120,,,10132,,,10138
10251,9994,10032,10249,10186,10174,10247,10193,10177,10254,10169,10169,10248,10152,10108,,,10115,,,10129,,,10139
10252,9995,10030,10249,10183,10169,10249,10201,10185,10261,10172,10175,10255,10149,10108,,,10113,,,10123,,,10139
10254,9993,10030,10245,10187,10169,10245,10197,10184,10255,10169,10173,10253,10148,10109,,,10114,,,10136,,,10142
10246,9994,10031,10243,10186,10173,10246,10200,10184,10258,10170,10170,10251,10148,10108,,,10120,,,10127,,,10134
10252,9998,10031,10252,10189,10172,10244,10199,10187,10261,10169,10171,10248,10151,10110,,,10113,,,10131,,,10139
10250,9998,10033,10248,10187,10174,10244,10203,10189,10257,10170,10170,10253,10150,10108,,,10114,,,10130,,,10141
10244,9991,10032,10244,10186,10177,10247,10201,10186,10253,10168,10166,10249,10148,10112,,,10120,,,10130,,,10141
10244,9994,10032,10243,10187,10171,10250,10203,10184,10252,10170,10170,10249,10148,10111,,,10115,,,10132,,,10136
10246,9994,10032,10245,10182,10176,10246,10204,10192,10255,10171,10163,10246,10147,10107,,,10113,,,10127,,,10138
10246,9995,10039,10253,10190,10176,10244,10202,10187,10252,10173,10168,10251,10147,10105,,,10112,,,10128,,,10140
10248,9993,10030,10248,10188,10177,10248,10200,10185,10253,10173,10166,10252,10141,10107,,,10115,,,10133,,,10138
10248,9993,10030,10250,10191,10174,10247,10203,10190,10253,10172,10171,10251,10149,10108,,,10114,,,10127,,,10139
10249,9988,10032,10251,10193,10174,10240,10199,10192,10256,10169,10170,10251,10149,10108,,,10117,,,10130,,,10140
10245,9987,10027,10252,10193,10176,10246,10204,10190,10254,10172,10167,10252,10147,10106,,,10116,,,10131,,,10134
10243,9990,10032,10247,10191,10181,10247,10206,10187,10253,10172,10167,10249,10149,10111,,,10113,,,10138,,,10139
10249,9992,10033,10248,10191,10179,10245,10203,10191,10256,10174,10168,10252,10149,10109,,,10118,,,10131,,,10142
10252,9991,10028,10248,10188,10174,10241,10205,10193,10255,10174,10169,10247,10151,10109,,,10111,,,10128,,,10139
10253,9992,10031,10249,10187,10174,10245,10208,10189,10251,10175,10166,10252,10151,10101,,,10118,,,10133,,,10144
10249,9989,10032,10248,10192,10177,10247,10208,10191,10257,10173,10168,10252,10149,10105,,,10115,,,10129,,,10143
10250,9990,10028,10250,10192,10179,10247,10213,10193,10261,10179,10172,10254,10148,10109,,,10114,,,10131,,,10147
10251,9991,10027,10246,10197,10177,10243,10207,10188,10257,10175,10167,10252,10151,10107,,,10117,,,10130,,,10140
10251,9987,10026,10252,10197,10181,10244,10211,10194,10261,10175,10170,10253,10151,10108,,,10112,,,10130,,,10140
10250,9991,10028,10247,10198,10187,10249,10206,10194,10254,10172,10164,10253,10149,10107,,,10112,,,10127,,,10145
10251,9987,10029,10250,10194,10187,10245,10211,10193,10259,10175,10165,10258,10148,10110,,,10114,,,10130,,,10135
10250,9991,10028,10249,10195,10182,10249,10208,10188,10256,10176,10165,10254,10146,10106,,,10117,,,10127,,,10143
10254,9989,10028,10251,10193,10182,10247,10207,10193,10255,10175,10162,10251,10145,10107,,,10116,,,10128,,,10137
10250,9990,10026,10249,10194,10188,10245,10214,10197,10257,10177,10165,10248,10149,10110,,,10113,,,10126,,,10139
10251,9989,10026,10247,10197,10182,10248,10212,10196,10256,10175,10164,10249,10147,10102,,,10117,,,10137,,,10140
